Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,total_CO2_EMISSION
Mining,North America,South Africa,2013,259.58,807.84,17.62,92.08,6.8,0.49,1184.41
Energy,Europe,Australia,2007,218.41,522.71,83.53,90.25,12.04,13.68,940.62
Construction,Oceania,India,2004,199.43,434.25,48.99,116.13,24.83,18.83,842.46
Energy,North America,China,2006,236.9,618.92,66.22,132.46,10.84,8.08,1073.42
Construction,Oceania,USA,2003,31.67,900.92,27.45,192.76,49.97,9.85,1212.62
Construction,North America,China,2007,61.55,551.07,9.55,109.07,20.53,14.04,765.81
Energy,Asia,Germany,2003,11.91,605.79,77.79,53.21,22.08,17.62,788.4
Energy,Africa,Australia,2020,43.92,338.31,25.25,194.92,11.04,15.09,628.53
Manufacturing,North America,Germany,2000,274,596.32,39.09,21.24,39.81,19.24,989.7
Mining,South America,India,2007,67.03,627.95,4.85,62.6,23.31,14.81,800.55
Construction,Asia,China,2006,198.8,753.55,65.06,180.49,32.46,5.8,1236.16
Manufacturing,South America,USA,2010,207.62,572.39,68.78,188.78,8.79,17.92,1064.28
Energy,Asia,South Africa,2020,193.77,197.95,90.18,129.04,6.55,10.21,627.7
Mining,South America,Germany,2015,166.4,582.14,89.11,3.02,28.08,18.38,887.13
Manufacturing,South America,USA,2021,146.1,298.22,70.54,88.57,8.98,1.41,613.82
Construction,Oceania,Brazil,2016,126.27,87.78,32.28,186.56,25.81,12.98,471.68
Manufacturing,North America,India,2004,275.11,825.52,37.53,177.95,49.96,0.37,1366.44
Construction,North America,USA,2006,3.35,66.54,38.23,178.77,22.14,3.08,312.11
Energy,Asia,India,2009,16.52,631.89,13.05,58.84,1.35,6.13,727.78
Mining,Africa,Brazil,2012,148.01,988.5,94.73,164.98,31.75,14.81,1442.78
Mining,Oceania,USA,2019,99.49,88.08,81.83,134.5,13.02,8.45,425.37
Mining,North America,Australia,2014,122.76,220.52,14.61,178.75,47.04,8.92,592.6
Energy,North America,USA,2005,299.36,760.92,94.65,127.62,11.76,5.98,1300.29
Construction,Oceania,South Africa,2001,232.65,97.35,84.34,75.09,46.64,16.88,552.95
Energy,Europe,Brazil,2003,263.28,832.81,91.89,126.92,1.01,19.27,1335.18
Mining,Oceania,Canada,2020,110.89,0.77,28.64,71.63,48.92,19.67,280.52
Energy,North America,Australia,2013,72.25,890,33.62,0.6,13.74,10.48,1020.69
Energy,Africa,Australia,2014,230.51,67.29,47.05,163.37,39.1,0.98,548.3
Energy,Europe,China,2013,242.37,922.02,22.5,169.89,23.37,2.05,1382.2
Construction,South America,Canada,2003,165.19,864.62,46.6,149.64,18.59,17.46,1262.1
Manufacturing,Oceania,USA,2005,268.83,539.79,1.02,45.58,47.9,11.98,915.1
Manufacturing,South America,South Africa,2006,290.21,778.06,87.77,27.26,47.1,3.69,1234.09
Energy,Europe,USA,2012,141.57,75.34,16.31,34.07,30.24,10.78,308.31
Manufacturing,Europe,South Africa,2016,67.19,135.58,50.13,100.25,46.97,12.34,412.46
Manufacturing,Europe,Australia,2016,155.38,369.6,92.89,52.93,39.45,17.16,727.41
Energy,Asia,Germany,2003,296.87,537.69,82.12,175.68,18.23,13.24,1123.83
Energy,Oceania,Australia,2018,88.23,868.28,77.63,108.92,44.81,9.73,1197.6
Mining,Africa,China,2019,185.47,542.91,60.58,90.09,18,12.1,909.15
Manufacturing,Africa,USA,2012,208.35,665.37,43.68,174.33,47.31,2.76,1141.8
Construction,South America,Canada,2008,64.57,680.04,44.66,16.31,25.84,4.96,836.38
Energy,South America,Brazil,2001,176.74,877.63,8.79,174.21,36.96,10.63,1284.96
Mining,South America,India,2019,94.69,776.87,6.57,160.45,31.89,4.36,1074.83
Construction,Oceania,Brazil,2022,256.34,977.04,84.36,137.45,36.7,19.71,1511.6
Manufacturing,North America,China,2017,214.57,20.5,40.92,22.29,9.11,11.02,318.41
Mining,South America,Germany,2019,247.97,208.22,5.5,10.57,44.47,2.95,519.68
Energy,Europe,Germany,2016,60.3,930.48,66.34,33.31,41.14,18.46,1150.03
Construction,South America,Germany,2006,10.86,792.32,68.36,54.13,31.58,14.22,971.47
Energy,Europe,South Africa,2016,255.23,267.73,22.82,123.29,10.67,0.87,680.61
Manufacturing,Asia,Brazil,2009,116.33,974.26,41.13,16.16,28.69,7.33,1183.9
Construction,North America,Canada,2013,54.33,869.95,57.39,36.69,21.86,8.57,1048.79
Manufacturing,North America,India,2011,28.02,65.12,59.67,40.16,1,10.63,204.6
Manufacturing,Oceania,Australia,2011,155.19,811.4,51.16,134.17,46.17,6.39,1204.48
Mining,Oceania,Australia,2016,45.46,784.6,36.48,69.3,38.48,14.46,988.78
Energy,Africa,India,2018,170.22,221.54,6.98,55.12,44.89,10.97,509.72
Construction,Asia,Australia,2022,218.33,669.41,2.33,5.92,30.2,1.04,927.23
Manufacturing,Oceania,South Africa,2013,160.75,970.24,46.01,18.96,16.69,1.67,1214.32
Manufacturing,Europe,USA,2016,271.16,676.03,20.37,109.99,22.04,6.65,1106.24
Construction,Asia,South Africa,2014,47.09,813.86,93.86,126.71,41.48,13.06,1136.06
Manufacturing,North America,India,2020,148.44,99.84,64.08,148.48,10.05,13,483.89
Mining,Europe,India,2005,49.38,727.6,58.59,99.55,7.66,3.82,946.6
Mining,Asia,Canada,2018,262.83,205.15,40.71,53.88,5.11,17.86,585.54
Mining,North America,Canada,2021,279.71,72.32,33.02,58.56,5.06,10.33,459
Mining,Oceania,USA,2019,120.3,552.3,18.06,130.2,24.38,11.65,856.89
Manufacturing,Europe,Brazil,2005,92.07,750.74,6.11,85.34,36.84,15.81,986.91
Construction,Europe,Brazil,2005,84.16,546.97,63.49,31.76,44.53,2.39,773.3
Construction,North America,China,2003,257.99,931.63,77.94,0.88,28.44,10.53,1307.41
Construction,Europe,Canada,2000,204.89,695.82,85.79,52.07,24.86,13.94,1077.37
Construction,Oceania,Brazil,2018,264.24,118.02,72.46,151.14,19.42,4.17,629.45
Energy,Oceania,Germany,2010,35.7,934.55,89.71,132.98,15.1,3.55,1211.59
Construction,Oceania,Canada,2006,143.07,153.31,98.28,19.61,1.77,18.73,434.77
Energy,North America,Canada,2001,203.02,758.38,96.17,88.89,36.57,15.61,1198.64
Energy,South America,Germany,2003,269.18,148.97,59.26,29.01,3.63,0.63,510.68
Mining,South America,Canada,2005,114.91,998.58,22.5,94.64,37.93,8.11,1276.67
Energy,Europe,Canada,2004,94.27,332.52,10.72,22.23,35.72,3.75,499.21
Manufacturing,Oceania,China,2021,273.93,496.18,99.39,135.92,49.38,6.4,1061.2
Energy,Europe,India,2020,14.74,467.1,30.91,116.83,1.1,5.81,636.49
Mining,North America,Canada,2008,144.14,102.35,3.49,51.88,12.22,19.99,334.07
Energy,Europe,China,2010,137.86,494.27,39.17,198.49,4.21,19.51,893.51
Manufacturing,Africa,USA,2017,44.24,149.93,74.84,117.77,46.65,1.88,435.31
Manufacturing,South America,China,2019,118.79,802.08,89.09,53.82,25.75,4.89,1094.42
Manufacturing,Europe,China,2016,216.92,958.33,47.81,71.61,47.79,15.62,1358.08
Mining,Europe,South Africa,2012,110.38,808.15,29.47,183.24,7.85,12.7,1151.79
Mining,Asia,Germany,2022,93.24,431.35,77.86,40.72,16.57,1.66,661.4
Construction,Europe,USA,2016,234.68,2.87,50.43,40.83,31.98,1.09,361.88
Mining,Africa,South Africa,2021,296.62,37.13,8.69,114.16,13.84,3.38,473.82
Manufacturing,South America,USA,2009,233.92,495.29,88.79,66.49,46.1,8.72,939.31
Manufacturing,Asia,China,2017,253.98,679.65,65.62,60.91,22,17.32,1099.48
Mining,North America,Canada,2016,281.88,819.6,3.78,82.12,30.73,7.51,1225.62
Energy,North America,South Africa,2011,240.63,599.73,1,166.24,17.61,5.75,1030.96
Mining,South America,South Africa,2014,294.12,978.32,8.86,168.22,10.52,6.06,1466.1
Mining,North America,USA,2018,224.31,494.03,82.21,133.21,39.93,12.6,986.29
Manufacturing,Africa,USA,2021,198.63,600.23,48.18,115.5,39.67,7.45,1009.66
Construction,Europe,Brazil,2014,208.16,230.49,33.6,3.22,40.79,9.18,525.44
Manufacturing,South America,Australia,2012,270.07,339.99,25,113.06,16.57,8.22,772.91
Construction,Asia,USA,2006,205.06,683.29,50.74,190.82,42.73,7.75,1180.39
Manufacturing,Europe,South Africa,2010,228.48,601.84,8.4,167.48,16.02,3.37,1025.59
Mining,North America,India,2007,65.19,369.96,61.76,28.97,18.12,18.52,562.52
Manufacturing,North America,USA,2019,273.84,112.43,38.11,194.8,15.04,2.8,637.02
Manufacturing,Asia,Germany,2015,134.44,342.94,85.86,43.41,21.59,11.87,640.11
Manufacturing,Africa,Brazil,2022,48.74,44.63,75.47,24.85,1.42,1.28,196.39
Mining,Asia,Germany,2010,240.04,580.98,1.93,57.86,12.61,3.71,897.13
Mining,South America,Australia,2004,107.24,323.35,16.73,28.31,12.84,6.61,495.08
Mining,Asia,Germany,2006,55.64,380.16,47.46,45.01,42.61,4.01,574.89
Mining,North America,India,2015,77.25,575.3,65.9,61.83,34.74,7.74,822.76
Construction,Africa,Canada,2015,10.97,581.5,71.54,118.2,13.21,13.9,809.32
Construction,Africa,Brazil,2019,27.64,588.55,81.64,122.8,18.2,12.99,851.82
Energy,Oceania,Australia,2016,177.99,491.85,5.02,106.93,48.14,11.04,840.97
Mining,Asia,China,2018,259.93,488.38,1.95,59.7,29.88,6.14,845.98
Construction,South America,South Africa,2014,134.83,821.31,60.09,190.69,35,16.92,1258.84
Manufacturing,North America,South Africa,2014,188,467.82,72.41,59.43,48.55,17.19,853.4
Mining,Europe,USA,2019,243.02,536.26,78.69,80.27,33.01,4.47,975.72
Energy,Africa,South Africa,2020,107.35,988.24,15.66,84.51,20.06,19.37,1235.19
Energy,Asia,India,2014,196.47,181.46,96.88,4.59,19.21,3.37,501.98
Energy,Oceania,South Africa,2002,105.45,726.56,23.02,85.81,5.69,5.25,951.78
Manufacturing,South America,India,2011,192.99,473.45,25.11,67.74,5.14,14.57,779
Construction,South America,China,2005,65.67,830.63,15.51,14.23,18.96,14.48,959.48
Manufacturing,North America,Canada,2019,293.36,404.33,4.42,162.25,21.02,4.8,890.18
Mining,Africa,India,2004,23.32,303.34,80.99,142.37,32.88,10.43,593.33
Energy,North America,China,2010,151.82,208.18,0.66,56.76,23.09,0.63,441.14
Manufacturing,Oceania,China,2022,86.25,872.3,46.43,52.2,36.36,11.55,1105.09
Manufacturing,Europe,China,2011,180.45,718.47,9.29,180.95,5.1,18.5,1112.76
Construction,Europe,India,2006,128.78,77.36,4.58,37.91,15.86,3.61,268.1
Construction,Europe,Australia,2008,92.35,713.63,93.47,174.75,45.2,0.39,1119.79
Energy,South America,China,2017,75.39,35.5,82.56,15.65,2.29,15.63,227.02
Manufacturing,Africa,Canada,2013,55.16,182.04,39.55,167.93,32.91,18.89,496.48
Manufacturing,North America,Australia,2003,234.97,593,45.91,108.38,27.75,5.59,1015.6
Construction,North America,India,2007,67.05,463.78,86.82,155.19,3.11,17.78,793.73
Manufacturing,Oceania,Canada,2015,232.17,840.56,79.7,18.68,6.67,9.16,1186.94
Manufacturing,Europe,Brazil,2003,145.77,608.09,69.19,84.06,14.43,15.85,937.39
Manufacturing,Africa,Canada,2018,22.13,964.99,53.7,90.12,5.19,6.1,1142.23
Construction,Africa,China,2005,50.05,855.26,60.82,103.11,18.56,18.59,1106.39
Energy,Oceania,India,2018,267.92,340.55,39.4,125.6,33.55,1.54,808.56
Mining,Asia,India,2014,181.04,834.23,52.86,77.94,36.69,17.57,1200.33
Energy,Africa,Australia,2011,55.71,870,54.02,89.54,18.41,6.77,1094.45
Mining,Africa,India,2011,211.28,969.74,86.5,74.12,44.12,0.19,1385.95
Manufacturing,North America,USA,2001,247.07,13.06,21.94,139.76,43.74,6.02,471.59
Energy,Oceania,Australia,2008,99.53,874.81,24.74,181.69,7.26,16.24,1204.27
Mining,Africa,Australia,2002,167.2,70.36,21.17,22.95,33.72,2.01,317.41
Construction,Africa,USA,2000,88.39,528.35,57.96,57.57,13.45,13.32,759.04
Construction,North America,China,2013,24.48,414.96,69.55,44.03,29.73,17.1,599.85
Energy,Africa,South Africa,2012,120.15,919.92,23.93,187.88,18.87,6.25,1277
Energy,North America,Brazil,2004,225.55,405.45,67.73,118.93,28.46,8.82,854.94
Manufacturing,Asia,South Africa,2006,137.87,596.24,62.85,28.66,31.44,0.34,857.4
Energy,South America,China,2013,121.88,692.03,32.18,79.65,7.63,4.42,937.79
Manufacturing,North America,Germany,2015,110.12,19.52,23.06,94.79,25.19,4.05,276.73
Manufacturing,North America,Germany,2017,137.95,591.14,88.19,124.63,8.3,16.74,966.95
Construction,Africa,Canada,2013,95.81,518.23,57.01,43.14,9.1,17.85,741.14
Construction,North America,Brazil,2000,183.85,594.21,70.42,100.46,37.27,10.81,997.02
Mining,Oceania,Australia,2005,19.54,76.21,92.54,160.32,45.7,11.68,405.99
Construction,Europe,Brazil,2020,242.31,56.03,20.62,132.03,22.12,1.43,474.54
Construction,Europe,Brazil,2009,52.36,177.96,35.12,20.93,37.84,11.15,335.36
Energy,Asia,USA,2005,190.22,869.57,43.5,182.47,28.83,5.2,1319.79
Construction,North America,USA,2001,135.24,356.79,23.37,67.78,43.85,7.7,634.73
Mining,Oceania,Germany,2006,232.16,434.32,84.06,84.97,46.54,9.42,891.47
Energy,Africa,Brazil,2016,247.93,390.47,8.43,138.51,41.82,11.72,838.88
Mining,Africa,Canada,2013,61.66,714.51,23.99,92.31,46.17,10.32,948.96
Construction,South America,India,2022,203.32,259.85,19.18,117.64,12.57,2.57,615.13
Mining,Asia,South Africa,2006,57.38,68.86,95.34,95.6,14.53,9.82,341.53
Energy,Oceania,Germany,2021,37.64,378.49,62.77,61.63,29.38,5.62,575.53
Manufacturing,Oceania,Brazil,2020,279.12,727.97,71.65,88.24,40.05,17.52,1224.55
Mining,Africa,India,2008,49.73,915.01,10.93,62.39,4.35,3.32,1045.73
Mining,South America,Brazil,2018,68.83,51.3,19.48,89.78,16.11,13.1,258.6
Energy,Africa,Australia,2020,39.53,810.59,81.01,40.58,16.32,16.06,1004.09
Energy,South America,China,2010,141.35,66.65,56.82,12.23,43.45,1.72,322.22
Mining,Europe,India,2002,275.92,331,4.61,139.78,37.28,11.18,799.77
Construction,Oceania,Australia,2022,79.58,22.79,56.61,25.27,32.57,4.8,221.62
Mining,Europe,South Africa,2003,162.78,911.59,47.59,164.48,9.4,3.78,1299.62
Energy,Africa,China,2004,123.73,706.94,15.45,72.85,26.25,4.84,950.06
Manufacturing,Asia,Australia,2003,101.13,369.45,59.33,49.86,0.56,6.79,587.12
Manufacturing,North America,USA,2012,171.86,377.77,17.46,82.01,10.45,16.77,676.32
Construction,Asia,Germany,2008,167.89,640.02,81.16,30.01,40.12,6.28,965.48
Mining,Asia,Brazil,2022,108.13,90.1,61.89,169.82,32.79,19.73,482.46
Manufacturing,North America,Germany,2013,255.24,145.48,87.14,33.43,27.4,0.27,548.96
Mining,Oceania,South Africa,2015,16.43,847.3,42.52,98.82,42.18,16.45,1063.7
Energy,Europe,Brazil,2021,26.03,202.71,51.24,32.48,22.15,3.13,337.74
Manufacturing,Europe,China,2005,297.24,726.8,76.08,9.24,14.08,15.44,1138.88
Construction,Oceania,India,2009,224.43,226.19,54.67,159.57,41.95,12.71,719.52
Energy,North America,India,2022,241.28,88.6,57.24,111.52,15.22,11.88,525.74
Construction,South America,Brazil,2020,181.01,900.08,55.38,15.71,42.81,4.3,1199.29
Energy,Asia,China,2012,126.25,901.72,49.18,178.59,33.19,14.15,1303.08
Manufacturing,Africa,Brazil,2002,188.95,605.51,80.59,78.57,31.61,9.99,995.22
Construction,Europe,Brazil,2010,28.23,462.3,48.57,85.28,4.08,18.45,646.91
Construction,Oceania,Canada,2002,227.45,552.98,90.09,99.03,23.92,4.4,997.87
Energy,Africa,Australia,2006,162.45,408.42,80.88,45,18.73,17.34,732.82
Construction,North America,Brazil,2009,287.04,757.3,69.27,110.2,46.37,14.88,1285.06
Energy,Africa,India,2000,191.42,754.68,89.88,50.07,0.72,1.99,1088.76
Energy,Africa,Canada,2003,45.93,819.07,53.76,167.22,30.19,10.66,1126.83
Energy,Asia,South Africa,2007,143.53,523.16,82.2,165.25,20.66,13.99,948.79
Energy,North America,Brazil,2019,17.82,801.44,24.26,95.47,40.26,1.71,980.96
Manufacturing,Africa,India,2016,223.76,156.14,7.39,106.41,41.73,7.4,542.83
Energy,Europe,USA,2004,150.8,30.62,68.53,198.58,23.26,15.2,486.99
Mining,North America,China,2016,111.21,648.23,30.23,159.09,8.07,8.9,965.73
Construction,Europe,USA,2008,290.58,105.92,63.5,12.67,10.3,4.28,487.25
Mining,Oceania,Brazil,2007,282.21,550.89,7.83,34.6,36.23,3.2,914.96
Manufacturing,Oceania,India,2006,285.87,721.26,95.57,119.26,41.17,16.58,1279.71
Mining,South America,China,2004,66.68,407.38,51.56,74.4,18.39,1.43,619.84
Construction,Oceania,Germany,2003,218.71,44.35,1.05,160.81,18.38,2.52,445.82
Mining,Africa,China,2022,283.64,887.19,47.66,128.25,8.48,16.75,1371.97
Manufacturing,North America,China,2002,171.48,43.72,78.99,198.14,32.9,13.46,538.69
Energy,Oceania,Canada,2007,64.64,904.8,86.54,2.68,6.1,4.79,1069.55
Mining,Europe,Brazil,2004,245.43,53.1,46.18,87.73,35.19,3.4,471.03
Manufacturing,Africa,Australia,2004,264.04,735.29,12.68,81.56,29.95,2.33,1125.85
Manufacturing,Oceania,USA,2016,211.12,924.88,90.63,86.9,40.55,1.06,1355.14
Construction,Asia,USA,2014,88.42,907.03,98.12,177.05,29.97,4.3,1304.89
Construction,Europe,Canada,2007,57.61,893.44,6.41,81.26,10.44,15.38,1064.54
Mining,Europe,Germany,2006,187.47,883.14,7.9,159.28,28.97,12.33,1279.09
Energy,South America,Brazil,2016,145.1,510.65,56.6,126.57,45.25,14.41,898.58
Manufacturing,Asia,China,2011,200.8,557.91,53.44,97.6,39.64,19.48,968.87
Mining,South America,Australia,2003,33.95,619.91,58.91,138.6,8.64,8.59,868.6
Manufacturing,Oceania,South Africa,2019,41.21,896,31.78,45.89,4.76,18.52,1038.16
Manufacturing,Asia,USA,2017,109.19,838.24,5.13,28.54,47.95,1.63,1030.68
Energy,Europe,USA,2003,78,783.09,58.08,193.44,37.32,15.79,1165.72
Energy,South America,India,2009,185.99,675.89,15.23,78.37,41.39,12.47,1009.34
Mining,Africa,China,2002,110.58,618.57,34.19,60.81,45.02,12.82,881.99
Energy,Asia,Brazil,2004,205.35,922.51,58.29,53.14,23.4,0.14,1262.83
Energy,Europe,USA,2011,230.76,193.05,20.93,124.5,43.72,4.15,617.11
Mining,North America,Canada,2022,56.56,193.13,54.29,199.29,6.62,19.08,528.97
Energy,Asia,Australia,2004,275.99,982.48,71.5,178.99,17.01,13.06,1539.03
Construction,Asia,Canada,2004,236.25,553.38,6.67,80.15,17.14,18.31,911.9
Manufacturing,Oceania,Canada,2003,188.22,483.63,61.99,179.07,1.88,2.92,917.71
Manufacturing,Africa,Canada,2005,272.72,850.67,50.99,91.47,9.45,10.92,1286.22
Manufacturing,Oceania,Brazil,2009,80.13,849.84,9.83,21.95,36.46,5.15,1003.36
Manufacturing,Asia,China,2005,126.8,177.01,70.66,37.65,23.19,19.37,454.68
Mining,Asia,Canada,2021,26.19,173.99,31.16,48.67,29.87,15.35,325.23
Manufacturing,Africa,China,2021,137.13,795.37,18.31,183.55,30.8,19.32,1184.48
Manufacturing,Africa,USA,2000,152.17,785.74,28.32,195.8,10.62,0.76,1173.41
Manufacturing,South America,Germany,2015,185.01,225.57,54.67,45.5,46.33,4.58,561.66
Manufacturing,Europe,Brazil,2010,19.68,841.59,58.05,80.67,7.08,18.31,1025.38
Construction,Europe,Canada,2005,10.22,480.31,17.05,196.31,0.26,3.26,707.41
Manufacturing,South America,Canada,2019,126.26,470.25,93.67,169.45,13.25,13.48,886.36
Construction,Europe,Brazil,2017,57.15,985.7,32.96,88.62,25.38,18.5,1208.31
Mining,Asia,India,2005,227.76,519.45,26.9,90.58,8.47,0.34,873.5
Energy,South America,Australia,2016,200.79,137.48,18.75,175.73,38.69,10.75,582.19
Manufacturing,South America,China,2011,98.09,280.52,12.14,5.97,10.57,12.19,419.48
Energy,Europe,China,2016,14.21,334.02,98.21,186.14,47.72,15.52,695.82
Energy,North America,USA,2020,55.14,958.49,67.5,17.96,35.52,15.53,1150.14
Mining,Europe,USA,2021,207.66,264.41,78.72,180.3,42.79,11.05,784.93
Energy,Oceania,USA,2017,297.05,430.69,40.21,12.91,27.46,17.73,826.05
Construction,North America,India,2009,98.27,749.76,41.52,193.82,27.71,5.35,1116.43
Energy,South America,Australia,2019,240.7,274.46,98.69,1.81,48.74,8.31,672.71
Energy,North America,Canada,2011,260.2,701.79,20.15,192.99,5.94,13.3,1194.37
Energy,Asia,Germany,2003,14.93,207.91,32.76,12.52,29.08,16.13,313.33
Manufacturing,Africa,USA,2009,274.91,242.9,19.6,25.12,3.5,6.81,572.84
Manufacturing,North America,USA,2004,140.13,986.34,28.33,192.59,49.51,6.97,1403.87
Construction,Oceania,South Africa,2003,289.29,369.26,66.39,158.37,31.58,9.36,924.25
Construction,Africa,Australia,2015,161.8,729.82,30.96,167.98,4.23,5.83,1100.62
Manufacturing,Asia,USA,2004,70.93,840.14,87.56,86.35,14.37,6.79,1106.14
Construction,Oceania,India,2018,292.41,347.18,4.96,16.13,44.56,12.61,717.85
Manufacturing,Africa,Brazil,2005,73.37,357.49,35.54,29.87,4.17,4.47,504.91
Mining,Asia,Germany,2020,264.8,773.2,86.08,184.75,13.78,10.35,1332.96
Energy,Africa,Brazil,2006,52.35,607.2,62.18,76.95,25.3,19.28,843.26
Energy,Africa,Canada,2009,202.59,362.07,77.12,151.16,49.13,18.3,860.37
Construction,Europe,South Africa,2006,123.68,749.69,32.43,138.06,10.49,7.82,1062.17
Manufacturing,Oceania,China,2021,291.62,863.77,36.99,94.81,39.64,5.33,1332.16
Manufacturing,Oceania,China,2013,55.84,235.42,88.83,172.13,17.21,19.82,589.25
Construction,North America,USA,2009,122.93,24.84,74.98,130.94,0.56,4.42,358.67
Manufacturing,Oceania,South Africa,2019,192.11,274.51,38.49,147.99,39.13,16.4,708.63
Mining,Oceania,Brazil,2021,293.3,674.65,21.61,167.39,24.54,19.12,1200.61
Energy,Africa,India,2010,91.51,915.29,10.72,44.61,24.05,19.98,1106.16
Construction,South America,Germany,2013,119.36,863.13,86.2,58.73,33.72,8.73,1169.87
Construction,Europe,Australia,2011,138.81,222.56,69.8,151.13,32.56,8.53,623.39
Manufacturing,North America,Brazil,2003,76.18,881.06,60.77,165.86,32.85,13.47,1230.19
Construction,Europe,South Africa,2012,245.3,810.83,77.68,119.57,16.35,8.01,1277.74
Mining,North America,Canada,2021,28.05,734.53,91.51,198.66,29.07,4.78,1086.6
Manufacturing,Asia,South Africa,2021,211.58,688.38,76.18,175.62,43.9,6.16,1201.82
Manufacturing,Africa,Australia,2002,160.41,807.19,42.12,160.13,44.67,1.79,1216.31
Manufacturing,Oceania,Brazil,2012,72.96,861.8,17.73,49.15,20.3,4.74,1026.68
Manufacturing,Oceania,Canada,2019,148.1,819.2,71.41,66.67,11.74,3.78,1120.9
Mining,South America,Germany,2018,249.07,122.29,24.75,72.21,3.84,9.3,481.46
Manufacturing,Europe,Brazil,2014,133.91,722.29,78.28,18.66,42.9,19.58,1015.62
Construction,Europe,Brazil,2018,37.01,841.38,33.94,146.31,8.35,13.6,1080.59
Mining,Europe,Germany,2019,12.72,186.11,15.76,82.5,15.92,3.87,316.88
Energy,Oceania,India,2003,233.45,214.19,25.54,124.24,40.61,18.17,656.2
Energy,Europe,Australia,2005,99.46,786.08,26.74,141.92,39.2,3.23,1096.63
Construction,Africa,South Africa,2014,279.41,344.26,37.94,1.77,21.78,10.57,695.73
Construction,North America,Germany,2003,185.34,400,25.8,9.66,34.71,12.81,668.32
Mining,Oceania,USA,2005,131.17,377.47,22.63,67.09,12.01,7.3,617.67
Energy,Africa,USA,2001,169.56,213.23,39.24,131.14,46.5,15.97,615.64
Energy,Asia,USA,2003,137.41,938.82,86.82,95.7,47.59,2.78,1309.12
Energy,Africa,USA,2017,271.79,805.96,7.14,187.78,47.11,10.57,1330.35
Energy,Africa,Canada,2014,137.68,250.91,29.69,51.45,31.19,6.83,507.75
Energy,Asia,Australia,2011,31.67,106.53,56.27,20.86,3.67,0.32,219.32
Manufacturing,Africa,China,2007,179.33,372.92,87.46,22.96,30.71,9.44,702.82
Construction,North America,India,2011,187.08,415.6,28.48,45.09,21.15,8.06,705.46
Manufacturing,Oceania,China,2008,229.72,7.59,34.94,47.32,19.82,3.68,343.07
Energy,South America,Brazil,2006,280.02,887.21,79.82,75.85,1.5,7.66,1332.06
Mining,Asia,Brazil,2021,133.2,851.36,37.31,112.86,43.71,3.44,1181.88
Mining,Oceania,Germany,2007,105.95,850.24,85.17,49.91,42.9,8.88,1143.05
Energy,Europe,USA,2019,147.49,805.9,45.58,103.12,16.26,8.52,1126.87
Energy,North America,Canada,2009,270.11,733.26,56.95,95.61,48.88,12.32,1217.13
Mining,South America,Canada,2010,294,634.7,56.13,61.89,6.88,5.59,1059.19
Manufacturing,North America,Germany,2001,291.38,960.31,12.02,86.87,41.78,4.05,1396.41
Manufacturing,North America,Brazil,2003,69.29,711.87,35.56,76.73,31.13,14.32,938.9
Energy,Europe,USA,2020,149.32,630.43,24.23,190.01,24.34,15.74,1034.07
Manufacturing,South America,Australia,2020,78.21,788.93,68.33,13.87,48.18,1.12,998.64
Mining,North America,South Africa,2008,110.71,246.64,93.37,153.42,29.19,10.5,643.83
Manufacturing,Europe,India,2007,9.99,967.16,21.32,61.95,41.7,9.65,1111.77
Energy,Asia,Brazil,2004,48.6,19.65,9.22,37.16,11.69,8.82,135.14
Mining,Europe,South Africa,2013,119.42,648.58,50.71,174.15,1.71,0.55,995.12
Manufacturing,Africa,Germany,2001,109.73,77.56,39.14,93.96,10.64,10.9,341.93
Construction,Oceania,South Africa,2020,84.01,853.38,3.67,102.08,49.42,12.81,1105.37
Mining,Europe,Germany,2016,69.48,967.66,92.17,83.22,28.11,16.43,1257.07
Mining,Europe,Brazil,2007,224.81,408.91,94.02,80.96,42.11,15.55,866.36
Construction,Europe,China,2001,88.72,857.24,85.06,138.6,34.28,4.39,1208.29
Construction,North America,Canada,2022,212.11,336.05,28.12,151.91,7.81,18.65,754.65
Mining,South America,Australia,2014,110.9,159.82,12.33,157.83,5.77,1.7,448.35
Construction,Europe,Australia,2001,240.69,277.01,59.29,105.09,24.32,11.06,717.46
Energy,Europe,Canada,2010,50.59,302.19,28.22,140.43,47.11,4.53,573.07
Energy,Africa,India,2013,47.7,630.85,20.25,155.54,6.74,13.67,874.75
Energy,Africa,Australia,2020,204.06,796.25,64.17,136.7,25.15,16.29,1242.62
Mining,Asia,South Africa,2009,274.52,205.61,75.06,38.81,38.01,16.29,648.3
Construction,Asia,Australia,2006,43.32,88.66,52.78,142.38,4.04,5.42,336.6
Construction,Africa,South Africa,2021,22.57,222.04,32.07,129.67,20.41,8.23,434.99
Manufacturing,South America,Brazil,2013,280.42,296.89,51.3,19.33,26.85,7.3,682.09
Manufacturing,Asia,Australia,2012,35.64,280.17,60.01,129.28,5.57,1.91,512.58
Construction,Oceania,Brazil,2020,75.48,220.34,5.28,175.03,32.84,16.01,524.98
Construction,Oceania,Australia,2021,278.88,466.27,44.44,82.71,36.96,7,916.26
Construction,South America,Canada,2001,240.97,856.05,59.87,26.8,32.01,8.45,1224.15
